# 2026-06-03 07:04:59
# 90d50a6929f5c04002a7039c5c0d6ad9
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;-1.676858443255436981e+00;1.027745820206229510e+01;-1.741514055461980126e+00;-8.454054587321442604e-02;6.043417278268992554e+00;1.765222704999686698e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
4.144708257803163542e-01;-1.752668438317558586e+00;9.869979478603390532e+00;-1.790388423788283223e+00;-5.908247006045129479e-02;6.163291249303002317e+00;3.522164019900283272e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
8.698240833280201922e-01;-1.847430932145211369e+00;9.424595757613422720e+00;-1.816651683412583873e+00;-1.510933806711676868e-02;6.418240938441995169e+00;4.600155285966311958e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
1.267600868429916705e+00;-1.932717176590098340e+00;9.036069532920047109e+00;-1.819024057558402907e+00;7.143179935073809550e-02;6.697274572924058589e+00;1.237930375236088842e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
1.730387359307723472e+00;-2.018003421034985312e+00;8.581209562547316594e+00;-1.812205600243419701e+00;-2.180195498508527216e-02;6.782277022781379117e+00;1.697107285018713885e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
2.204935550948418754e+00;-2.110218403093221617e+00;8.115707271174381177e+00;-1.800479150290185570e+00;-9.536322395028110077e-02;6.900000000000000355e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
2.639902822932246096e+00;-2.213161853565476456e+00;7.693097316604071700e+00;-1.783688859847019303e+00;1.041687690241235309e-01;6.900000000000000355e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
3.092563565218054755e+00;-2.299851075015796997e+00;7.248815056671181090e+00;-1.762397675157259425e+00;5.224645325189877787e-02;6.900000000000000355e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
3.543274575215320965e+00;-2.375704143784826528e+00;6.804532796738290479e+00;-1.738204973014222610e+00;-1.910366310141979607e-02;6.900000000000000355e+00;0.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
3.921852039347694330e+00;-2.442371393311968397e+00;6.431871591097853447e+00;-1.711736422690346426e+00;-6.746810634125658020e-03;6.900000000000000355e+00;-6.331283163917094114e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.300000000000000266e-01
