# 2026-06-04 05:19:01
# b79d8304004fc96080e2705caca62605
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;5.769516881890544013e+00;3.109351440559076707e+01;-2.709119161211327675e+00;3.237698072911200931e-01;5.070537641427242725e+00;7.289202055204831998e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
3.758639133036176805e-01;5.438307027032950991e+00;3.091582446955295538e+01;-2.594773499238295145e+00;2.624267436369327466e-01;5.124285469701757023e+00;7.841424756842426680e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
7.481061752382219820e-01;5.129122331630015630e+00;3.070853451393815803e+01;-2.511881745505284869e+00;1.858396708162068645e-01;5.180934617677776188e+00;9.052635827590274076e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.118048227603634759e+00;4.836777573197965197e+00;3.048183721725017392e+01;-2.456469873208556809e+00;1.170410119105667474e-01;5.245176226603549097e+00;2.483228705722572371e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.485538931253890471e+00;4.556356419613295294e+00;3.024432217795454747e+01;-2.424687973538914854e+00;7.470748612986656545e-02;5.416364147369344906e+00;3.989471026191620417e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
1.851218744555537254e+00;4.283893830031424876e+00;3.000042493907171703e+01;-2.395955810167890832e+00;9.762472379334849459e-02;5.679325542436197694e+00;3.612117073969062009e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.216556993916234841e+00;4.020552433537426751e+00;2.974719906097366362e+01;-2.353176930687674417e+00;1.364673619189840093e-01;5.907116697133018235e+00;9.736966587437142495e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.583117760454569201e+00;3.769343819092661807e+00;2.948025144889610161e+01;-2.296210803723763405e+00;1.735918968296192300e-01;5.967232663534875137e+00;7.972218231094478913e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
2.952462300487557645e+00;3.533915417774192935e+00;2.919566603622565282e+01;-2.225512047446077890e+00;2.139256612861338003e-01;6.016374715381244798e+00;6.408057404462483841e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
3.326346244326509716e+00;3.319230465223525606e+00;2.888956217377225855e+01;-2.135459456212487783e+00;2.785899061705984225e-01;6.056066270346133429e+00;5.220147483068666716e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
3.706476027329290712e+00;3.134805213659009659e+00;2.855716786198111734e+01;-2.012953469956949792e+00;3.377444384311341086e-01;6.088744154324469804e+00;6.508767115595871511e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
4.095173587196144105e+00;2.991848196516515124e+00;2.819571373723474395e+01;-1.887365368539796195e+00;2.708835636192706842e-01;6.130154464280256121e+00;9.028613201888939788e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
4.493254836223521842e+00;2.885662656214366351e+00;2.781205593155637956e+01;-1.803331236502230928e+00;1.645373264947380398e-01;6.188506934634052215e+00;1.129027179965598648e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
4.898781487924481759e+00;2.803552062675166212e+00;2.741492910588423726e+01;-1.747241468515547735e+00;1.282377420947172775e-01;6.262053920556370556e+00;1.113464880151775471e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
5.309176384666332460e+00;2.741587759696261006e+00;2.700923908083051117e+01;-1.699110011430996714e+00;1.051059732789442897e-01;6.334606531820783815e+00;7.522036977466824981e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
5.722085957414881463e+00;2.696958585327963398e+00;2.659874845723163617e+01;-1.660809507970330889e+00;8.018879241449648754e-02;6.383449234379440007e+00;2.709926264460258416e-01;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
6.137524340904731979e+00;2.665795714088903257e+00;2.618448051744773508e+01;-1.632670408008574991e+00;5.591803066098877117e-02;6.401061287414476553e+00;3.894593806833209992e+00;1.000000000000000000e+00;1.000000000000000000e+00;5.500000000000000444e-01
6.556893565579826166e+00;2.644106554328583325e+00;2.576567253405501035e+01;-1.613896098945248436e+00;3.674893568383399284e-02;6.651325520197339358e+00;3.875558923933874134e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
6.981677305612501883e+00;2.628719752696715428e+00;2.534116756101972356e+01;-1.600683500698969475e+00;2.710547856993787696e-02;6.894394825108269842e+00;3.858454553031632983e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
7.413873545421200362e+00;2.618081838985387044e+00;2.490910225982481307e+01;-1.590775256860328835e+00;1.848332534492348744e-02;7.132173518855647210e+00;3.842877180429290718e+00;1.000000000000000000e+00;1.000000000000000000e+00;1.000000000000000000e+00
