# 2026-05-01 19:23:38
# 3c4ee84747e21e719fd2a818ad3dbb9e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-6.622789248149593355e+00;7.190764511102456069e+00;-2.795092582404557380e+00;2.271904818284079530e-01;3.266792645059743982e+00;-1.306400144534040075e+00;1.000000000000000000e+00;1.000000000000000000e+00
2.620256457569199449e-01;-6.865945192706750966e+00;7.093129344994913765e+00;-2.714004636145390226e+00;4.315979446008261222e-01;3.160271112236971991e+00;-9.563325759553364946e-01;1.000000000000000000e+00;1.000000000000000000e+00
5.113481246128779301e-01;-7.085668174136205977e+00;6.975301038147064148e+00;-2.573851498161274343e+00;6.902200545653693897e-01;3.083900628415859213e+00;-7.473925486624852788e-01;1.000000000000000000e+00;1.000000000000000000e+00
7.509375991788176385e-01;-7.274771271316417653e+00;6.828184978657848347e+00;-2.377281740281206091e+00;9.039328531266981326e-01;3.025278220244651095e+00;-5.691889631063561383e-01;1.000000000000000000e+00;1.000000000000000000e+00
9.837275838450605381e-01;-7.423976617559659097e+00;6.649498265068549685e+00;-2.152504017508523493e+00;1.023574244453484550e+00;2.981158387254725817e+00;-4.060383800271956112e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.211793170719348778e+00;-7.525086343251887300e+00;6.445070440918421184e+00;-1.899154047662698463e+00;1.223159664091565846e+00;2.949931959728973485e+00;-2.544693841333624529e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.436247132511508262e+00;-7.565639914489294959e+00;6.224310415496949744e+00;-1.602866030510938122e+00;1.260883601512952756e+00;2.930505970678670025e+00;-9.081302105310390393e-02;1.000000000000000000e+00;1.000000000000000000e+00
1.658300919463658651e+00;-7.543303451784547420e+00;6.003382900837434200e+00;-1.345093754473132286e+00;1.073177465626072635e+00;2.923616680367746135e+00;1.028052541028407763e-01;1.000000000000000000e+00;1.000000000000000000e+00
1.878900308938864727e+00;-7.469976578484094354e+00;5.795326994194981651e+00;-1.121841088053534108e+00;9.736053029005219406e-01;2.931363513163179668e+00;2.555898715057662307e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.100138051205690637e+00;-7.353519142067368897e+00;5.607221161997872905e+00;-9.160877038825088192e-01;8.522902143151189769e-01;2.950590499974672376e+00;2.835498372217479246e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.324696981243438376e+00;-7.201338805799448295e+00;5.442091339394320215e+00;-7.422837430279004556e-01;6.953138035521688742e-01;2.972092124187703188e+00;2.920183426995983655e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.555587335223403755e+00;-7.020029740819381026e+00;5.299131979725051345e+00;-5.982842229389722100e-01;5.693033545618366720e-01;2.994691976094983943e+00;5.731265777118875748e-01;1.000000000000000000e+00;1.000000000000000000e+00
2.795667891597406030e+00;-6.813314585353993813e+00;5.177035632319523906e+00;-4.715326148016300012e-01;4.929552041551621411e-01;3.040291618741083113e+00;1.019274397262507570e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.049585563494263241e+00;-6.580611897523154674e+00;5.075430301859833015e+00;-3.549108881755844158e-01;4.213600115709759120e-01;3.124259382788377337e+00;1.502751252298298201e+00;1.000000000000000000e+00;1.000000000000000000e+00
3.322993111558428136e+00;-6.319458301658860577e+00;4.994495224757209861e+00;-2.494453692446124415e-01;3.500634222076766111e-01;3.253109860029887557e+00;2.006894561904467356e+00;1.000000000000000000e+00;1.000000000000000000e+00
